Year,Month,Revenue Passenger Miles,Airport Name
2022,4,3610106,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2022,5,3889177,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2022,6,4024694,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2022,7,4286005,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2022,8,4199813,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2022,9,3959095,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2022,10,4142189,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2022,11,3774781,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2022,12,3873084,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2023,1,3792524,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2023,2,3424533,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2023,3,4232941,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2023,4,4309444,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2023,5,4626989,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2023,6,4935306,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2023,7,5230554,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2023,8,4875113,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2023,9,4633805,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2023,10,4799431,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2023,11,4200365,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2023,12,4384643,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2024,1,4036057,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2024,2,3718685,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2024,3,4556470,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2024,4,4624692,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2024,5,4957457,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2024,6,5302360,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2024,7,5172160,"- Atlanta, GA: Hartsfield-Jackson Atlanta International"
2002,10,165025,"- Austin, TX: Austin - Bergstrom International"
2002,11,155262,"- Austin, TX: Austin - Bergstrom International"
2002,12,175387,"- Austin, TX: Austin - Bergstrom International"
2003,1,147260,"- Austin, TX: Austin - Bergstrom International"
2003,2,131846,"- Austin, TX: Austin - Bergstrom International"
2003,3,173980,"- Austin, TX: Austin - Bergstrom International"
2003,4,152564,"- Austin, TX: Austin - Bergstrom International"
2003,5,168590,"- Austin, TX: Austin - Bergstrom International"
2003,6,191475,"- Austin, TX: Austin - Bergstrom International"
2003,7,202098,"- Austin, TX: Austin - Bergstrom International"
2003,8,186459,"- Austin, TX: Austin - Bergstrom International"
2003,9,154249,"- Austin, TX: Austin - Bergstrom International"
2003,10,169456,"- Austin, TX: Austin - Bergstrom International"
2003,11,159330,"- Austin, TX: Austin - Bergstrom International"
2003,12,168908,"- Austin, TX: Austin - Bergstrom International"
2004,1,142786,"- Austin, TX: Austin - Bergstrom International"
2004,2,139546,"- Austin, TX: Austin - Bergstrom International"
2004,3,184700,"- Austin, TX: Austin - Bergstrom International"
2004,4,183796,"- Austin, TX: Austin - Bergstrom International"
2004,5,189006,"- Austin, TX: Austin - Bergstrom International"
2004,6,218929,"- Austin, TX: Austin - Bergstrom International"
2004,7,217000,"- Austin, TX: Austin - Bergstrom International"
2004,8,200139,"- Austin, TX: Austin - Bergstrom International"
2004,9,171391,"- Austin, TX: Austin - Bergstrom International"
